model,accuracy,precision,recall,f1,roc_auc
BERT+DistilBERT_Logistic_val,0.9148128052088985,0.9082631459139541,0.9126258005489478,0.910439247005134,0.9710241000158877
BERT+DistilBERT_Logistic_test,0.9112316874660878,0.9053159936116815,0.9078014184397163,0.9065570025131369,0.9711338298495772
BERT+DistilBERT_RF_val,0.8821486706456864,0.8740892531876139,0.8780878316559927,0.8760839799178457,0.9570144107784052
BERT+DistilBERT_RF_test,0.8810634834508952,0.8720745285162463,0.8780599405170442,0.8750569995440036,0.956013670916016
